uf;municipio;evento;data_referencia;agente;arma;faixa_etaria;feminino;masculino;nao_informado;total_vitima;total;total_peso;abrangencia;formulario
SP;NÃO INFORMADO;Apreensão de Cocaína;01/01/25;;;;;;;;;2726.619;Estadual;Formulário 5
SP;NÃO INFORMADO;Apreensão de Cocaína;01/02/25;;;;;;;;;1822.461;Estadual;Formulário 5
SP;NÃO INFORMADO;Apreensão de Cocaína;01/03/25;;;;;;;;;7665.83;Estadual;Formulário 5
SP;NÃO INFORMADO;Apreensão de Cocaína;01/04/25;;;;;;;;;3313.452;Estadual;Formulário 5
SP;NÃO INFORMADO;Apreensão de Maconha;01/01/25;;;;;;;;;9416.432;Estadual;Formulário 5
SP;NÃO INFORMADO;Apreensão de Maconha;01/02/25;;;;;;;;;19064.262;Estadual;Formulário 5
SP;NÃO INFORMADO;Apreensão de Maconha;01/03/25;;;;;;;;;5574.289;Estadual;Formulário 5
SP;NÃO INFORMADO;Apreensão de Maconha;01/04/25;;;;;;;;;8505.21;Estadual;Formulário 5
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/01/25;;Carabina;;;;;;28;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/01/25;;Espingarda;;;;;;110;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/01/25;;Fuzil;;;;;;42;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/01/25;;Metralhadora;;;;;;1;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/01/25;;Outra;;;;;;61;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/01/25;;Pistola;;;;;;456;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/01/25;;Revolver;;;;;;407;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/01/25;;Rifle;;;;;;8;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/01/25;;Submetralhadora;;;;;;5;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/02/25;;Carabina;;;;;;30;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/02/25;;Espingarda;;;;;;145;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/02/25;;Fuzil;;;;;;26;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/02/25;;Metralhadora;;;;;;0;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/02/25;;Outra;;;;;;48;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/02/25;;Pistola;;;;;;442;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/02/25;;Revolver;;;;;;432;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/02/25;;Rifle;;;;;;9;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/02/25;;Submetralhadora;;;;;;1;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/03/25;;Carabina;;;;;;35;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/03/25;;Espingarda;;;;;;113;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/03/25;;Fuzil;;;;;;38;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/03/25;;Metralhadora;;;;;;3;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/03/25;;Outra;;;;;;56;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/03/25;;Pistola;;;;;;518;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/03/25;;Revolver;;;;;;438;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/03/25;;Rifle;;;;;;11;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/03/25;;Submetralhadora;;;;;;4;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/04/25;;Carabina;;;;;;16;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/04/25;;Espingarda;;;;;;108;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/04/25;;Fuzil;;;;;;40;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/04/25;;Metralhadora;;;;;;4;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/04/25;;Outra;;;;;;49;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/04/25;;Pistola;;;;;;482;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/04/25;;Revolver;;;;;;389;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/04/25;;Rifle;;;;;;5;;Estadual;Formulário 6
SP;NÃO INFORMADO;Arma de Fogo Apreendida;01/04/25;;Submetralhadora;;;;;;2;;Estadual;Formulário 6
SP;NÃO INFORMADO;Atendimento pré-hospitalar;01/01/25;;;;;;;;17426;;Estadual;Formulário 9
SP;NÃO INFORMADO;Atendimento pré-hospitalar;01/02/25;;;;;;;;17473;;Estadual;Formulário 9
SP;NÃO INFORMADO;Atendimento pré-hospitalar;01/03/25;;;;;;;;19105;;Estadual;Formulário 9
SP;NÃO INFORMADO;Atendimento pré-hospitalar;01/04/25;;;;;;;;18189;;Estadual;Formulário 9
SP;NÃO INFORMADO;Busca e salvamento;01/01/25;;;;;;;;7818;;Estadual;Formulário 9
SP;NÃO INFORMADO;Busca e salvamento;01/02/25;;;;;;;;7157;;Estadual;Formulário 9
SP;NÃO INFORMADO;Busca e salvamento;01/03/25;;;;;;;;6581;;Estadual;Formulário 9
SP;NÃO INFORMADO;Busca e salvamento;01/04/25;;;;;;;;5457;;Estadual;Formulário 9
SP;NÃO INFORMADO;Combate a incêndios;01/01/25;;;;;;;;2421;;Estadual;Formulário 9
SP;NÃO INFORMADO;Combate a incêndios;01/02/25;;;;;;;;2484;;Estadual;Formulário 9
SP;NÃO INFORMADO;Combate a incêndios;01/03/25;;;;;;;;4825;;Estadual;Formulário 9
SP;NÃO INFORMADO;Combate a incêndios;01/04/25;;;;;;;;2436;;Estadual;Formulário 9
SP;NÃO INFORMADO;Emissão de Alvarás de licença;01/01/25;;;;;;;;19548;;Estadual;Formulário 9
SP;NÃO INFORMADO;Emissão de Alvarás de licença;01/02/25;;;;;;;;21044;;Estadual;Formulário 9
SP;NÃO INFORMADO;Emissão de Alvarás de licença;01/03/25;;;;;;;;20339;;Estadual;Formulário 9
SP;NÃO INFORMADO;Emissão de Alvarás de licença;01/04/25;;;;;;;;20172;;Estadual;Formulário 9
SP;NÃO INFORMADO;Estupro;01/01/25;;;;286;27;0;313;;;Estadual;Formulário 3
SP;NÃO INFORMADO;Estupro;01/02/25;;;;272;20;0;292;;;Estadual;Formulário 3
SP;NÃO INFORMADO;Estupro;01/03/25;;;;318;21;0;339;;;Estadual;Formulário 3
SP;NÃO INFORMADO;Estupro;01/04/25;;;;236;21;1;258;;;Estadual;Formulário 3
SP;NÃO INFORMADO;Estupro de vulnerável;01/01/25;;;;924;185;0;1109;;;Estadual;Formulário 3
SP;NÃO INFORMADO;Estupro de vulnerável;01/02/25;;;;854;145;2;1001;;;Estadual;Formulário 3
SP;NÃO INFORMADO;Estupro de vulnerável;01/03/25;;;;956;169;1;1126;;;Estadual;Formulário 3
SP;NÃO INFORMADO;Estupro de vulnerável;01/04/25;;;;799;218;1;1018;;;Estadual;Formulário 3
SP;ADAMANTINA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ADOLFO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;AGUAÍ;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ÁGUAS DA PRATA;Feminicídio;01/01/25;;;;1;0;0;1;;;Estadual;Formulário 1
SP;ÁGUAS DE LINDÓIA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ÁGUAS DE SANTA BÁRBARA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ÁGUAS DE SÃO PEDRO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;AGUDOS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ALAMBARI;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ALFREDO MARCONDES;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ALTAIR;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ALTINÓPOLIS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ALTO ALEGRE;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ALUMÍNIO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ÁLVARES FLORENCE;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ÁLVARES MACHADO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ÁLVARO DE CARVALHO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ALVINLÂNDIA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;AMERICANA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;AMÉRICO BRASILIENSE;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;AMÉRICO DE CAMPOS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;AMPARO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ANALÂNDIA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
